"name","mass_1","mass_1_upper","mass_1_lower","mass_2","mass_2_upper","mass_2_lower","network_snr","distance","distance_upper","distance_lower","chi_eff","chi_eff_upper","chi_eff_lower","total_mass","chirp_mass","chirp_mass_upper","chirp_mass_lower","redshift","redshift_upper","redshift_lower","final_mass","fecha","mes"
"GW190719_215514",36.6,42.1,-11.1,19.9,10,-9.3,7.9,3730,3120,-2070,0.25,0.33,-0.32,57.2,22.8,8.3,-4.3,0.61,0.39,-0.3,54.5,2019-07-19 21:55:32,7
"GW190708_232457",19.8,4.3,-4.3,11.6,3.1,-2,13.4,930,310,-390,0.05,0.1,-0.1,31.4,13.1,0.9,-0.6,0.19,0.06,-0.07,30.1,2019-07-08 23:25:15,7
"GW190707_093326",12.1,2.6,-2,7.9,1.6,-1.3,13.1,850,340,-400,-0.04,0.1,-0.09,20.1,8.4,0.6,-0.4,0.17,0.06,-0.08,19.2,2019-07-07 09:33:44,7
"GW190706_222641",74,20.1,-16.9,39.4,18.4,-15.4,13.4,3630,2600,-2000,0.28,0.25,-0.31,112.6,45.6,13,-9.1,0.6,0.33,-0.29,107.3,2019-07-06 22:26:59,7
"GW190701_203306",54.1,12.6,-8,40.5,8.7,-12.1,11.2,2090,770,-740,-0.08,0.23,-0.31,94.3,40.2,5.4,-5,0.38,0.11,-0.12,90.2,2019-07-01 20:33:24,7
"GW190630_185205",35.1,6.5,-5.5,24,5.5,-5.2,16.4,870,530,-360,0.1,0.14,-0.13,59.4,25.1,2.2,-2.1,0.18,0.09,-0.07,56.6,2019-06-30 18:52:23,6
"GW190620_030421",58,19.2,-13.3,35,13.1,-14.5,12.1,2910,1710,-1320,0.34,0.22,-0.29,92.7,38.1,8.5,-7.2,0.5,0.23,-0.2,88,2019-06-20 03:04:39,6
"GW190602_175927",71.8,18.1,-14.6,44.8,15.5,-19.6,13.2,2840,1930,-1280,0.12,0.25,-0.28,115.6,48,9.5,-9.7,0.49,0.26,-0.2,110.5,2019-06-02 17:59:45,6
"GW190527_092055",35.6,18.7,-8,22.2,9,-8.7,8,2520,2080,-1230,0.1,0.22,-0.22,58.1,23.9,6.8,-3.9,0.44,0.29,-0.19,55.5,2019-05-27 09:21:13,5
"GW190521_074359",43.4,5.8,-5.5,33.4,5.2,-6.8,25.9,1080,580,-530,0.1,0.13,-0.13,76.3,32.8,3.2,-2.8,0.21,0.1,-0.1,72.6,2019-05-21 07:44:17,5
"GW190521",98.4,33.6,-21.7,57.2,27.1,-30.1,14.3,3310,2790,-1800,-0.14,0.5,-0.45,153.1,63.3,19.6,-14.6,0.56,0.36,-0.27,147.4,2019-05-21 03:02:47,5
"GW190519_153544",65.1,10.8,-11,40.8,11.5,-12.7,15.9,2600,1720,-960,0.33,0.2,-0.24,105.6,44.3,6.8,-7.5,0.45,0.24,-0.15,100,2019-05-19 15:36:02,5
